CNTD(INFO_DM_CASE_ID)-value,CNTD(INFO_DM_CASE_ID)-alias,COUNTY-value,COUNTY-alias,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-value,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-alias,CNTD(INFO_DM_CASE_ID (copy))-alias,COUNTY (copy)-alias,MONTH(calc-color)-alias,population,per capita,,pop,,https://www.census.gov/data/tables/time-series/demo/popest/2020s-counties-total.html,,,,
0,0,0,0,SUFFOLK,SUF,91,SUFFOLK,Jul-22,766381,11.87398957,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,19,PLYMOUTH,Jul-22,533069,3.56426654,,,,,,,,
0,0,0,0,NORFOLK,NOR,43,NORFOLK,Jul-22,725531,5.926693691,,,,,,,,
0,0,0,0,MIDDLESEX,MID,87,MIDDLESEX,Jul-22,1617105,5.379984602,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,4,HAMPSHIRE,Jul-22,162588,2.460206165,,,,,,,,
0,0,0,0,HAMPDEN,HPD,26,HAMPDEN,Jul-22,461041,5.639411679,,,,,,,,
0,0,0,0,ESSEX,ESS,52,ESSEX,Jul-22,806765,6.445495281,,,,,,,,
0,0,0,0,DUKES,DUK,1,DUKES,Jul-22,20868,4.792026069,,,,,,,,
0,0,0,0,BRISTOL,BRI,65,BRISTOL,Jul-22,580068,11.20558279,,,,,,,,
0,0,0,0,BERKSHIRE,BER,11,BERKSHIRE,Jul-22,127859,8.603226992,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,6,BARNSTABLE,Jul-22,232457,2.58112253,,,,,,,,
0,0,0,0,WORCESTER,WOR,37,WORCESTER,Jun-22,862927,4.287732334,,,,,,,,
0,0,0,0,SUFFOLK,SUF,60,SUFFOLK,Jun-22,766381,7.829004112,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,28,PLYMOUTH,Jun-22,533069,5.252603322,,,,,,,,
0,0,0,0,NORFOLK,NOR,48,NORFOLK,Jun-22,725531,6.61584412,,,,,,,,
0,0,0,0,MIDDLESEX,MID,86,MIDDLESEX,Jun-22,1617105,5.318145699,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,2,HAMPSHIRE,Jun-22,162588,1.230103083,,,,,,,,
0,0,0,0,HAMPDEN,HPD,42,HAMPDEN,Jun-22,461041,9.109818866,,,,,,,,
0,0,0,0,FRANKLIN,FRA,6,FRANKLIN,Jun-22,70894,8.463339634,,,,,,,,
0,0,0,0,ESSEX,ESS,38,ESSEX,Jun-22,806765,4.710169628,,,,,,,,
0,0,0,0,BRISTOL,BRI,52,BRISTOL,Jun-22,580068,8.964466235,,,,,,,,
0,0,0,0,BERKSHIRE,BER,8,BERKSHIRE,Jun-22,127859,6.256892358,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,6,BARNSTABLE,Jun-22,232457,2.58112253,,,,,,,,
0,0,0,0,%null%,TBD,1,%null%,Jun-22,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,45,WORCESTER,May-22,862927,5.214809596,,,,,,,,
0,0,0,0,SUFFOLK,SUF,46,SUFFOLK,May-22,766381,6.002236486,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,23,PLYMOUTH,May-22,533069,4.314638443,,,,,,,,
0,0,0,0,NORFOLK,NOR,43,NORFOLK,May-22,725531,5.926693691,,,,,,,,
0,0,0,0,NANTUCKET,NAN,1,NANTUCKET,May-22,14421,6.934331877,,,,,,,,
0,0,0,0,MIDDLESEX,MID,64,MIDDLESEX,May-22,1617105,3.957689822,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,1,HAMPSHIRE,May-22,162588,0.615051541,,,,,,,,
0,0,0,0,HAMPDEN,HPD,25,HAMPDEN,May-22,461041,5.42251123,,,,,,,,
0,0,0,0,FRANKLIN,FRA,3,FRANKLIN,May-22,70894,4.231669817,,,,,,,,
0,0,0,0,ESSEX,ESS,37,ESSEX,May-22,806765,4.586217796,,,,,,,,
0,0,0,0,BRISTOL,BRI,50,BRISTOL,May-22,580068,8.619679072,,,,,,,,
0,0,0,0,BERKSHIRE,BER,13,BERKSHIRE,May-22,127859,10.16745008,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,7,BARNSTABLE,May-22,232457,3.011309619,,,,,,,,
0,0,0,0,WORCESTER,WOR,46,WORCESTER,Apr-22,862927,5.330694253,,,,,,,,
0,0,0,0,SUFFOLK,SUF,49,SUFFOLK,Apr-22,766381,6.393686691,,,,,,,,
